province,area1,population,area2
新疆维吾尔自治区,166,21813334,1660000
西藏自治区,122.8,3002166,1228000
内蒙古自治区,118.3,24706321,1183000
青海省,72.23,5626722,722300
四川省,48.14,80418200,481400
黑龙江省,45.48,38312224,454800
甘肃省,45.44,25575254,454400
云南省,38.33,45966239,383300
广西壮族自治区,23.6,46026629,236000
湖南省,21.18,65683722,211800
陕西省,20.56,37327378,205600
河北省,18.77,71854202,187700
吉林省,18.74,27462297,187400
湖北省,18.59,57237740,185900
广东省,18,104303132,180000
贵州省,17.6,34746468,176000
江西省,16.7,44567475,167000
河南省,16.7,94023567,167000
山西省,15.63,35712111,156300
山东省,15.38,95793065,153800
辽宁省,14.59,43746323,145900
安徽省,13.97,59500510,139700
福建省,12.13,36894216,121300
江苏省,10.26,78659903,102600
浙江省,10.2,54426891,102000
重庆市,8.23,28846170,82300
宁夏回族自治区,6.64,6301350,66400
海南省,3.4,8671518,34000
北京市,1.68,19612368,16800
天津市,1.13,12938224,11300
上海市,0.63,23019148,6300
